origin,name,multiplicity,edge_num,like_weight_ratio,post_prob,likelihood,marginal_like,distal_length,pendant_length,classification,map_ratio,map_overlap,map_identity
placements,ASV101_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,408,0.521925,0.380565,-16513.2,-16545.3,0.100819,1.31337,NA,NA,NA,NA
placements,ASV135_Turbellaria_Rhabdocoela_Astrotorhynchus_Astrotorhynchus_bifidus,1,729,1,1,-21633.5,-21636,6.50911e-06,0.0066088,NA,NA,NA,NA
placements,ASV67_Turbellaria_Acoelomorpha_Philactinoposthia_Philactinoposthia_sp.,1,408,0.400236,0.254473,-19007.6,-19046.2,0.0946689,1.64686,NA,NA,NA,NA
placements,ASV50_Turbellaria_Acoelomorpha_Actinoposthia_Actinoposthia_beklemischevi,1,408,0.447732,0.653345,-20716.3,-20758.6,0.0851312,1.89855,NA,NA,NA,NA
placements,ASV150_Turbellaria_Rhabdocoela_Astrotorhynchus_Astrotorhynchus_bifidus,1,729,1,1,-21631.7,-21633.4,0.00209662,0.00669516,NA,NA,NA,NA
placements,ASV175_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,399,0.474607,0.838804,-19383.5,-19412.6,0.166712,1.20243,NA,NA,NA,NA
placements,ASV46_Turbellaria_Acoelomorpha_Convolutidae_Convolutidae_sp.,1,408,0.47644,0.285596,-21757.6,-21798.5,0.101381,1.78486,NA,NA,NA,NA
placements,ASV30_Turbellaria_Prolecithophora_Plagiostomum_Plagiostomum_lemani,1,410,0.30376,0.403914,-20249.8,-20264.9,0.0137243,0.537428,NA,NA,NA,NA
placements,ASV161_Turbellaria_Rhabdocoela_Baicalellia_Baicalellia_canadensis,1,319,0.120819,0.143411,-21145,-21155,5e-07,0.349398,NA,NA,NA,NA
placements,ASV72_Turbellaria_Rhabdocoela_Promesostoma_Promesostoma_cochleare,1,21,0.878484,0.902368,-21627.3,-21628.9,0.00524577,0.0116096,NA,NA,NA,NA
placements,ASV131_Turbellaria_Acoelomorpha_Praeconvoluta_Praeconvoluta_castinea,1,408,0.679334,0.596049,-20043.1,-20076.6,0.0924441,1.38656,NA,NA,NA,NA
placements,ASV55_Turbellaria_Acoelomorpha_Postaphanostoma_Postaphanostoma_nilssoni,1,408,0.599785,0.684284,-21045.8,-21085.2,0.0978155,1.63633,NA,NA,NA,NA
placements,ASV162_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,408,0.511484,0.342206,-18340.6,-18376.1,0.100688,1.45811,NA,NA,NA,NA
placements,ASV167_Turbellaria_Rhabdocoela_Cheliplana_Cheliplana_orthocirra,1,661,0.89889,0.88631,-21425.1,-21427.4,0.0642547,0.0301797,NA,NA,NA,NA
placements,ASV13_Turbellaria_Macrostomorpha_Dolichomacrostomum_Dolichomacrostomum_uniporum,1,408,0.535107,0.571845,-20271.9,-20277.4,0.0864603,0.162372,NA,NA,NA,NA
